"Neighborhood","Id","EstimateTotal","MarginofErrorTotal","EstimateTotalLessthan10000","MarginofErrorTotalLessthan10000","EstimateTotal10000to14999","MarginofErrorTotal10000to14999","EstimateTotal15000to19999","MarginofErrorTotal15000to19999","EstimateTotal20000to24999","MarginofErrorTotal20000to24999","EstimateTotal25000to29999","MarginofErrorTotal25000to29999","EstimateTotal30000to34999","MarginofErrorTotal30000to34999","EstimateTotal35000to39999","MarginofErrorTotal35000to39999","EstimateTotal40000to44999","MarginofErrorTotal40000to44999","EstimateTotal45000to49999","MarginofErrorTotal45000to49999","EstimateTotal50000to59999","MarginofErrorTotal50000to59999","EstimateTotal60000to74999","MarginofErrorTotal60000to74999","EstimateTotal75000to99999","MarginofErrorTotal75000to99999","EstimateTotal100000to124999","MarginofErrorTotal100000to124999","EstimateTotal125000to149999","MarginofErrorTotal125000to149999","EstimateTotal150000to199999","MarginofErrorTotal150000to199999","EstimateTotal200000ormore","MarginofErrorTotal200000ormore","EstimateTotalLessthan15000","PercentLessthan15000"
"Sheraden",70,2202,195.269045166,199,93.4505216679,297,122.257924078,116,65.1152823844,206,84.3267454607,151,64.366140167,48,32.9696830436,92,61.9758017294,136,66.6333249958,87,51.8652099195,117,66.8879660327,302,92.558089868,295,113.978068066,121,73.2188500319,18,29.2916370318,17,27.3130005675,0,24.4948974278,496,22.5249772933697
"South Oakland",71,1155,150.512457957,253,86.8907359849,191,84.5635855436,92,47.4341649025,36,31.9061122671,20,24.0208242989,96,57.8705451849,57,45.4532727095,35,36.4691650576,28,34.8281495345,110,62.1610810717,44,33.6749164809,29,26.5706605112,91,64.7224845011,36,38.4317577011,24,39.9499687108,13,27.2213151776,444,38.4415584415584
"South Shore",72,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,4,6,0,10,0,10,0,10,0,10,0,0
"South Side Flats",73,3311,264.567571709,396,145.127530124,254,101.301530097,170,67.7200118134,161,80.062475605,235,105.399240984,116,77.5886589651,106,83.6122000668,127,65.398776747,96,53.9351462407,256,95.0052630121,218,78.0896920214,288,121.012396059,376,102.161636635,202,81.5291358963,159,89.0842298053,151,79.082235679,650,19.6315312594382
"South Side Slopes",74,1988,173.329166617,95,50.1597448159,180,71.6798437499,123,65.4675492133,201,73.225678556,96,42.5675933077,86,45.8802789878,100,56.5331761003,174,70.1712191714,61,43.7835585579,148,69.6562990691,193,75.4320886626,221,74.188947964,80,42.5440947723,34,34.7275107084,132,65.1690110405,64,49.4469412603,275,13.8329979879276
"Spring Garden",75,397,60.811183182,53,26.4196896272,31,19.4164878389,20,15.2315462117,42,31.3209195267,22,16.2788205961,52,34.1760149813,9,14.1421356237,25,26,27,20.6155281281,22,15.6204993518,22,17.691806013,58,28.319604517,14,16.2788205961,0,14.1421356237,0,14.1421356237,0,14.1421356237,84,21.1586901763224
"Spring Hill-City View",76,1080,138.166566144,131,84.6522297403,181,104.004807581,91,53.3385414124,88,65.4293512118,116,67.2383818961,66,39.8998746865,23,26.1533936613,67,73.9188744503,9,19.8997487421,66,47.8016736109,84,42.4499705536,52,37.7094152699,56,41.5331193146,20,26.776855678,22,22.5831795813,8,19.2093727123,312,28.8888888888889
"Squirrel Hill North",77,3370,187.890925805,283,92.1683242768,98,56.9385633819,101,52.9622507075,88,48.938737213,101,50.5964425626,74,43.3704968844,107,57.636793804,47,41.2916456441,86,52.2876658496,59,42.8485705711,285,103.024268985,321,86.5794432877,347,89.9388681272,69,46.1085675336,369,106.018866246,935,133.566462856,381,11.3056379821958
"Squirrel Hill South",78,7211,332.601864095,544,176.912407705,482,142.161879559,487,155.074175799,370,128.105425334,511,149.679657936,139,72.090221251,290,122.482651833,277,120.158229015,135,73.6885337078,390,142.003521082,682,172.597798364,741,166.427161244,574,152.715421618,352,104.009614941,416,112.507777509,821,165.372307234,1026,14.2282623769241
"St. Clair",79,101,42,10,14,4,6,16,26,0,10,4,6,11,16,7,12,23,27,4,6,9,11,4,5,9,9,0,10,0,10,0,10,0,10,14,13.8613861386139
"Stanton Heights",80,2056,129.046503246,96,47.9270278653,94,47.2440472441,146,55.072679252,148,70.3562363974,130,53.4228415568,79,49.8598034493,90,51.9903837263,105,52.668776329,115,49.2848861215,223,81.4493707772,223,78.8035532194,282,85.9069263797,83,39.6106046407,112,65.4064217031,62,35.9165699921,68,47.8225888049,190,9.24124513618677
"Strip District",81,520,53,8,11,14,15,22,19,14,16,0,10,8,11,0,10,23,20,25,31,51,42,51,25,51,28,51,30,75,44,44,25,83,33,22,4.23076923076923
"Summer Hill",82,517,16,6,10,5,8,9,12,16,14,29,18,23,25,29,24,49,34,17,14,85,29,49,27,93,38,64,29,27,23,6,11,10,13,11,2.12765957446809
"Swisshelm Park",83,577,58,21,15,21,16,37,30,14,13,32,26,18,17,17,14,14,13,16,14,41,23,94,45,115,38,63,27,34,22,26,17,14,14,42,7.2790294627383
"Terrace Village",84,831,105.271078649,278,78.006409993,176,77.220463609,108,55.3985559379,92,51.6623654124,37,32.5883414736,27,22.360679775,43,31.064449134,16,19.8997487421,12,15.6524758425,14,17.9164728672,15,19.8997487421,0,17.3205080757,0,17.3205080757,0,17.3205080757,9,18.547236991,4,15.779733838,454,54.632972322503
"Troy Hill",85,1158,147.800541271,131,76.8505042274,101,53.2541078228,86,50.2493781056,27,25,62,42.5205832509,110,80.4300938704,50,34.1760149813,107,60.827625303,41,31.6227766017,104,51.6236379966,54,37.5765884561,69,33.2415402772,66,49.0306026885,42,37.5366487582,26,30.6757233004,82,63.7887137353,232,20.0345423143351
"Upper Hill",86,942,159.965621306,129,69.8355210477,173,112.58774356,41,31.874754901,125,83.1264097625,75,63.5924523823,22,38.6781592116,65,47.6759897642,33,33.5410196625,66,60.3158354,25,26.1533936613,18,20.6397674405,43,34.263683398,81,69.6706537934,25,30.7408522979,7,28.7228132327,14,36.5650105976,302,32.0594479830149
"Upper Lawrenceville",87,1287,137.091210513,143,77.1686464829,105,63.2534584035,80,58.7877538268,64,47.2440472441,65,39.5094925302,101,62.369864518,70,37.9605057922,70,44.2492937797,59,45.6727489867,181,90.2662727712,88,50.4579032462,205,82.0792300159,32,34.292856399,10,21.354156504,0,17.3205080757,14,27.8567765544,248,19.2696192696193
"West End",88,99,47,18,21,10,16,0,10,9,16,11,13,0,10,25,41,4,8,0,10,7,12,0,10,12,16,3,6,0,10,0,10,0,10,28,28.2828282828283
"West Oakland",89,630,79.61155695,212,66.6483308118,58,41.7851648316,56,27.2029410175,79,49.4772675074,19,19.4164878389,34,31.6227766017,31,26.2488094968,40,33.1209903234,30,28.7923600978,6,9.43398113206,24,19.2093727123,31,28.231188427,0,14.1421356237,0,14.1421356237,10,15.6204993518,0,14.1421356237,270,42.8571428571429
"Westwood",90,1492,112.53888217,101,46.6476151588,66,58.9406481132,72,38.2883794382,111,56.3205113613,67,42.0594816896,138,73.1095069057,49,34.885527085,38,27.2946881279,26,34.4818792991,204,70.8025423272,121,55.9016994375,221,74.966659256,123,66.4830805544,80,61.400325732,65,56.8594759033,10,18.0277563773,167,11.1930294906166
"Windgap",91,647,100.124921973,51,32.2024843762,36,44.9221548904,19,20.591260282,9,11.313708499,42,45.5411901469,21,24.6981780705,42,25.5538646784,35,33.9558536927,76,54.7813836992,56,32.2024843762,84,43.931765273,136,67.2681202354,26,23.4093998214,14,15.2643375225,0,14.1421356237,0,14.1421356237,87,13.4466769706337
