"Neighborhood","Id","EstimateTotal","EstimateTotalLowerthanHighSchoolDiploma","PercentTotalLowerthanHighSchoolDiploma"
"Allegheny Center",1,791,95,12.0101137800253
"Allegheny West",2,283,28,9.89399293286219
"Allentown",3,1611,124,7.69708255741775
"Arlington",4,1271,168,13.2179386309992
"Arlington Heights",5,182,130,71.4285714285714
"Banksville",6,3368,196,5.81947743467934
"Bedford Dwellings",7,674,127,18.8427299703264
"Beechview",8,5834,549,9.41035310250257
"Beltzhoover",9,1347,293,21.7520415738679
"Bloomfield",10,6603,344,5.20975314251098
"Bluff",11,1725,297,17.2173913043478
"Bon Air",12,595,39,6.5546218487395
"Brighton Heights",13,5389,420,7.79365373909816
"Brookline",14,9770,801,8.1985670419652
"California-Kirkbride",15,424,78,18.3962264150943
"Carrick",16,7276,997,13.7025838372732
"Central Business District",17,2498,82,3.2826261008807
"Central Lawrenceville",18,3757,359,9.55549640670748
"Central Northside",19,2117,213,10.0614076523382
"Central Oakland",20,1005,130,12.9353233830846
"Chartiers City",21,356,38,10.6741573033708
"Chateau",22,0,0,0
"Crafton Heights",23,2518,237,9.41223193010326
"Crawford-Roberts",24,1517,266,17.5346077785102
"Duquesne Heights",25,1953,124,6.34920634920635
"East Allegheny",26,1902,356,18.7171398527865
"East Carnegie",27,391,21,5.37084398976982
"East Hills",28,1852,179,9.66522678185745
"East Liberty",29,3959,533,13.4629957059864
"Elliott",30,1485,188,12.6599326599327
"Esplen",31,235,12,5.1063829787234
"Fairywood",32,823,38,4.61725394896719
"Fineview",33,930,101,10.8602150537634
"Friendship",34,1447,106,7.3255010366275
"Garfield",35,2330,305,13.0901287553648
"Glen Hazel",36,501,161,32.1357285429142
"Greenfield",37,5691,259,4.5510455104551
"Hays",38,277,16,5.77617328519856
"Hazelwood",39,3018,422,13.9827700463883
"Highland Park",40,4674,95,2.03252032520325
"Homewood North",41,1775,234,13.1830985915493
"Homewood South",42,1450,247,17.0344827586207
"Homewood West",43,636,82,12.8930817610063
"Knoxville",44,2535,322,12.7021696252465
"Larimer",45,1096,203,18.521897810219
"Lincoln Place",46,2565,234,9.12280701754386
"Lincoln-Lemington-Belmar",47,3375,462,13.6888888888889
"Lower Lawrenceville",48,1942,147,7.56951596292482
"Manchester",49,1415,106,7.49116607773852
"Marshall-Shadeland",50,4834,1267,26.2101779064957
"Middle Hill",51,1293,284,21.9644238205723
"Morningside",52,2542,289,11.3690007867821
"Mount Oliver Borough",53,1905,409,21.4698162729659
"Mount Washington",54,6467,494,7.63878150610793
"Mt. Oliver",55,381,13,3.41207349081365
"New Homestead",56,676,58,8.57988165680473
"North Oakland",57,2937,227,7.72897514470548
"North Shore",58,159,0,0
"Northview Heights",59,551,152,27.5862068965517
"Oakwood",60,907,98,10.8048511576626
"Overbrook",61,2816,275,9.765625
"Perry North",62,2864,223,7.78631284916201
"Perry South",63,2325,224,9.63440860215054
"Point Breeze",64,4022,83,2.06364992541024
"Point Breeze North",65,1527,13,0.851342501637197
"Polish Hill",66,1169,84,7.18562874251497
"Regent Square",67,774,22,2.84237726098191
"Ridgemont",68,246,30,12.1951219512195
"Shadyside",69,9414,264,2.80433397068196
"Sheraden",70,3321,422,12.7070159590485
"South Oakland",71,1256,115,9.15605095541401
"South Shore",72,8,0,0
"South Side Flats",73,4143,176,4.24812937484914
"South Side Slopes",74,2991,215,7.18823136074891
"Spring Garden",75,595,149,25.0420168067227
"Spring Hill-City View",76,1615,219,13.5603715170279
"Squirrel Hill North",77,5494,121,2.20240262104114
"Squirrel Hill South",78,11164,297,2.66033679684701
"St. Clair",79,163,18,11.0429447852761
"Stanton Heights",80,3683,275,7.46673907140918
"Strip District",81,611,0,0
"Summer Hill",82,915,93,10.1639344262295
"Swisshelm Park",83,971,122,12.5643666323378
"Terrace Village",84,924,174,18.8311688311688
"Troy Hill",85,1874,72,3.84204909284952
"Upper Hill",86,1351,93,6.88378978534419
"Upper Lawrenceville",87,2028,183,9.02366863905326
"West End",88,112,0,0
"West Oakland",89,772,84,10.880829015544
"Westwood",90,2601,333,12.80276816609
"Windgap",91,1026,60,5.84795321637427
